year_global,avg_temp_global,7-Years-AVG,10-Years-AVG,Sparlines,,,,,,,,,
1750,8.72,,,,,,,,,,,,
1751,7.98,,,,,,,,,,,,
1752,5.78,,,,,,,,,,,,
1753,8.39,,,,,,,,,,,,
1754,8.47,,,,,,,,,,,,
1755,8.36,,,,,,,,,,,,
1756,8.85,8.08,,,,,,,,,,,
1757,9.02,8.12,,,,,,,,,,,
1758,6.74,7.94,,,,,,,,,,,
1759,7.99,8.26,8.03,,,,24.72,8.11,,,,,
1760,7.19,8.09,7.88,,,,24.75,8.04,local,,global,,
1761,8.77,8.13,7.96,,,,24.75,8.06,max,26.83,max,9.59,17.24
1762,8.61,8.17,8.24,,,,24.8,8.07,min,24.48,min,7.93,16.55
1763,7.50,7.97,8.15,,,,24.77,8.08,,,,,
1764,8.40,7.89,8.14,,,,24.75,8.06,,,,,
1765,8.25,8.10,8.13,,,,24.75,8.05,,,,,
1766,8.41,8.16,8.09,,,,24.77,8.07,,,,,
1767,8.22,8.31,8.01,,,,24.77,8.06,,,,,
1768,6.78,8.02,8.01,,,,24.68,8.00,,,,,
1769,7.69,7.89,7.98,,,,24.52,7.93,,,,,
1770,7.69,7.92,8.03,,,,24.48,7.94,,,,,
1771,7.85,7.84,7.94,,,,24.59,7.97,,,,,
1772,8.19,7.83,7.90,,,,24.62,7.98,,,,,
1773,8.22,7.81,7.97,,,,24.61,7.99,,,,,
1774,8.77,7.88,8.01,,,,24.65,8.06,,,,,
1775,9.18,8.23,8.10,,,,24.78,8.12,,,,,
1776,8.30,8.31,8.09,,,,25,8.24,,,,,
1777,8.26,8.40,8.09,,,,25.1,8.25,,,,,
1778,8.54,8.49,8.27,,,,25.06,8.27,,,,,
1779,8.98,8.61,8.40,,,,25.01,8.27,,,,,
1780,9.43,8.78,8.57,,,,25.05,8.28,,,,,
1781,8.10,8.68,8.60,,,,25.02,8.28,,,,,
1782,7.90,8.50,8.57,,,,24.94,8.23,,,,,
1783,7.68,8.41,8.51,,,,24.88,8.18,,,,,
1784,7.86,8.36,8.42,,,,24.94,8.22,,,,,
1785,7.36,8.19,8.24,,,,25.06,8.33,,,,,
1786,8.26,8.08,8.24,,,,25.11,8.32,,,,,
1787,8.03,7.88,8.21,,,,25.05,8.29,,,,,
1788,8.45,7.93,8.21,,,,25.14,8.27,,,,,
1789,8.33,8.00,8.14,,,,25.17,8.31,,,,,
1790,7.98,8.04,8.00,,,,25.21,8.29,,,,,
1791,8.23,8.09,8.01,,,,25.12,8.18,,,,,
1792,8.09,8.20,8.03,,,,25.04,8.05,,,,,
1793,8.23,8.19,8.08,,,,25.01,8.02,,,,,
1794,8.53,8.26,8.15,,,,25.01,7.99,,,,,
1795,8.35,8.25,8.25,,,,24.94,7.96,,,,,
1796,8.27,8.24,8.25,,,,25.06,7.99,,,,,
1797,8.51,8.32,8.30,,,,25.04,7.99,,,,,
1798,8.67,8.38,8.32,,,,25.13,8.03,,,,,
1799,8.51,8.44,8.34,,,,25.16,8.05,,,,,
1800,8.48,8.47,8.39,,,,25.19,8.06,,,,,
1801,8.59,8.48,8.42,,,,25.17,8.10,,,,,
1802,8.58,8.52,8.47,,,,25.11,8.11,,,,,
1803,8.50,8.55,8.50,,,,25.01,8.09,,,,,
1804,8.84,8.60,8.53,,,,24.98,8.14,,,,,
1805,8.56,8.58,8.55,,,,24.91,8.16,,,,,
1806,8.43,8.57,8.57,,,,24.9,8.21,,,,,
1807,8.28,8.54,8.54,,,,24.91,8.27,,,,,
1808,7.63,8.40,8.44,,,,25.04,8.32,,,,,
1809,7.08,8.19,8.30,,,,25.12,8.35,,,,,
1810,6.92,7.96,8.14,,,,25.08,8.35,,,,,
1811,6.86,7.68,7.97,,,,25.11,8.32,,,,,
1812,7.05,7.46,7.82,,,,25.11,8.33,,,,,
1813,7.74,7.37,7.74,,,,25.07,8.32,,,,,
1814,7.59,7.27,7.61,,,,24.95,8.24,,,,,
1815,7.24,7.21,7.48,,,,24.87,8.19,,,,,
1816,6.94,7.19,7.33,,,,24.91,8.18,,,,,
1817,6.98,7.20,7.20,,,,24.93,8.18,,,,,
1818,7.83,7.34,7.22,,,,24.81,8.19,,,,,
1819,7.37,7.38,7.25,,,,24.82,8.18,,,,,
1820,7.62,7.37,7.32,,,,24.79,8.17,,,,,
1821,8.09,7.44,7.45,,,,24.86,8.26,,,,,
1822,8.19,7.57,7.56,,,,24.92,8.32,,,,,
1823,7.72,7.69,7.56,,,,24.82,8.33,,,,,
1824,8.55,7.91,7.65,,,,24.86,8.30,,,,,
1825,8.39,7.99,7.77,,,,24.92,8.29,,,,,
1826,8.36,8.13,7.91,,,,24.98,8.32,,,,,
1827,8.81,8.30,8.09,,,,25.03,8.33,,,,,
1828,8.17,8.31,8.13,,,,25.01,8.33,,,,,
1829,7.94,8.28,8.18,,,,25.01,8.30,,,,,
1830,8.52,8.39,8.27,,,,25.04,8.33,,,,,
1831,7.64,8.26,8.23,,,,25.14,8.40,,,,,
1832,7.45,8.13,8.16,,,,25.19,8.45,,,,,
1833,8.01,8.08,8.18,,,,25.16,8.50,,,,,
1834,8.15,7.98,8.14,,,,25.21,8.53,,,,,
1835,7.39,7.87,8.04,,,,25.29,8.54,,,,,
1836,7.70,7.84,7.98,,,,25.29,8.51,,,,,
1837,7.38,7.67,7.84,,,,25.33,8.54,,,,,
1838,7.51,7.66,7.77,,,,25.29,8.57,,,,,
1839,7.63,7.68,7.74,,,,25.28,8.60,,,,,
1840,7.80,7.65,7.67,,,,25.21,8.54,,,,,
1841,7.69,7.59,7.67,,,,25.16,8.56,,,,,
1842,8.02,7.68,7.73,,,,25.19,8.54,,,,,
1843,8.17,7.74,7.74,,,,25.16,8.59,,,,,
1844,7.65,7.78,7.69,,,,25.12,8.60,,,,,
1845,7.85,7.83,7.74,,,,25.08,8.62,,,,,
1846,8.55,7.96,7.83,,,,25.11,8.62,,,,,
1847,8.09,8.00,7.90,,,,25.23,8.68,,,,,
1848,7.98,8.04,7.94,,,,25.28,8.70,,,,,
1849,7.98,8.04,7.98,,,,25.27,8.73,,,,,
1850,7.90,8.00,7.99,,,,25.24,8.76,,,,,
1851,8.18,8.08,8.04,,,,25.31,8.78,,,,,
1852,8.10,8.11,8.05,,,,25.34,8.74,,,,,
1853,8.04,8.04,8.03,,,,25.39,8.73,,,,,
1854,8.21,8.06,8.09,,,,25.46,8.74,,,,,
1855,8.11,8.07,8.11,,,,25.38,8.74,,,,,
1856,8.00,8.08,8.06,,,,25.29,8.72,,,,,
1857,7.76,8.06,8.03,,,,25.29,8.66,,,,,
1858,8.10,8.05,8.04,,,,25.36,8.63,,,,,
1859,8.25,8.07,8.07,,,,25.42,8.64,,,,,
1860,7.96,8.06,8.07,,,,25.43,8.66,,,,,
1861,7.85,8.00,8.04,,,,25.4,8.63,,,,,
1862,7.56,7.93,7.98,,,,25.47,8.61,,,,,
1863,8.11,7.94,7.99,,,,25.49,8.57,,,,,
1864,7.98,7.97,7.97,,,,25.45,8.62,,,,,
1865,8.18,7.98,7.98,,,,25.39,8.64,,,,,
1866,8.29,7.99,8.00,,,,25.16,8.65,,,,,
1867,8.44,8.06,8.07,,,,25.18,8.61,,,,,
1868,8.25,8.12,8.09,,,,25.09,8.65,,,,,
1869,8.43,8.24,8.11,,,,25.2,8.66,,,,,
1870,8.20,8.25,8.13,,,,25.27,8.75,,,,,
1871,8.12,8.27,8.16,,,,25.34,8.70,,,,,
1872,8.19,8.27,8.22,,,,25.33,8.67,,,,,
1873,8.35,8.28,8.24,,,,25.62,8.65,,,,,
1874,8.43,8.28,8.29,,,,25.5,8.66,,,,,
1875,7.86,8.23,8.26,,,,25.52,8.62,,,,,
1876,8.08,8.18,8.24,,,,25.51,8.60,,,,,
1877,8.54,8.22,8.25,,,,25.55,8.58,,,,,
1878,8.83,8.33,8.30,,,,25.52,8.61,,,,,
1879,8.17,8.32,8.28,,,,25.4,8.60,,,,,
1880,8.12,8.29,8.27,,,,25.32,8.65,,,,,
1881,8.27,8.27,8.28,,,,25.4,8.62,,,,,
1882,8.13,8.31,8.28,,,,25.37,8.65,,,,,
1883,7.98,8.29,8.24,,,,25.22,8.62,,,,,
1884,7.77,8.18,8.18,,,,25.24,8.64,,,,,
1885,7.92,8.05,8.18,,,,25.38,8.65,,,,,
1886,7.95,8.02,8.17,,,,25.59,8.68,,,,,
1887,7.91,7.99,8.11,,,,25.63,8.69,,,,,
1888,8.09,7.96,8.03,,,,25.7,8.79,,,,,
1889,8.32,7.99,8.05,,,,25.64,8.77,,,,,
1890,7.97,7.99,8.03,,,,25.63,8.87,,,,,
1891,8.02,8.03,8.01,,,,25.49,8.85,,,,,
1892,8.07,8.05,8.00,,,,25.4,8.84,,,,,
1893,8.06,8.06,8.01,,,,25.28,8.86,,,,,
1894,8.16,8.10,8.05,,,,25.36,8.86,,,,,
1895,8.15,8.11,8.07,,,,25.36,8.86,,,,,
1896,8.21,8.09,8.10,,,,25.42,8.90,,,,,
1897,8.29,8.14,8.13,,,,25.55,8.93,,,,,
1898,8.18,8.16,8.14,,,,25.6,9.00,,,,,
1899,8.40,8.21,8.15,,,,25.47,9.03,,,,,
1900,8.50,8.27,8.20,,,,25.48,9.03,,,,,
1901,8.54,8.32,8.26,,,,25.43,9.04,,,,,
1902,8.30,8.35,8.28,,,,25.38,9.06,,,,,
1903,8.22,8.35,8.30,,,,25.56,9.08,,,,,
1904,8.09,8.32,8.29,,,,25.53,9.07,,,,,
1905,8.23,8.33,8.30,,,,25.72,9.12,,,,,
1906,8.38,8.32,8.31,,,,26.08,9.19,,,,,
1907,7.95,8.24,8.28,,,,26.24,9.23,,,,,
1908,8.19,8.19,8.28,,,,26.33,9.29,,,,,
1909,8.18,8.18,8.26,,,,26.44,9.32,,,,,
1910,8.22,8.18,8.23,,,,26.49,9.39,,,,,
1911,8.18,8.19,8.19,,,,26.59,9.41,,,,,
1912,8.17,8.18,8.18,,,,26.52,9.43,,,,,
1913,8.30,8.17,8.19,,,,26.43,9.47,,,,,
1914,8.59,8.26,8.24,,,,26.42,9.54,,,,,
1915,8.59,8.32,8.28,,,,26.35,9.54,,,,,
1916,8.23,8.33,8.26,,,,26.39,9.54,,,,,
1917,8.02,8.30,8.27,,,,26.5,9.56,,,,,
1918,8.13,8.29,8.26,,,,26.53,9.59,,,,,
1919,8.38,8.32,8.28,,,,26.61,9.56,,,,,
1920,8.36,8.33,8.30,,,,26.83,9.57,,,,,
1921,8.57,8.33,8.33,,,,,,,,,,
1922,8.41,8.30,8.36,,,,,,,,,,
1923,8.42,8.33,8.37,,,,,,,,,,
1924,8.51,8.40,8.36,,,,,,,,,,
1925,8.53,8.45,8.36,,,,,,,,,,
1926,8.73,8.50,8.41,,,,,,,,,,
1927,8.52,8.53,8.46,,,,,,,,,,
1928,8.63,8.54,8.51,,,,,,,,,,
1929,8.24,8.51,8.49,,,,,,,,,,
1930,8.63,8.54,8.52,,,,,,,,,,
1931,8.72,8.57,8.53,,,,,,,,,,
1932,8.71,8.60,8.56,,,,,,,,,,
1933,8.34,8.54,8.56,,,,,,,,,,
1934,8.63,8.56,8.57,,,,,,,,,,
1935,8.52,8.54,8.57,,,,,,,,,,
1936,8.55,8.59,8.55,,,,,,,,,,
1937,8.70,8.60,8.57,,,,,,,,,,
1938,8.86,8.62,8.59,,,,,,,,,,
1939,8.76,8.62,8.64,,,,,,,,,,
1940,8.76,8.68,8.66,,,,,,,,,,
1941,8.77,8.70,8.66,,,,,,,,,,
1942,8.73,8.73,8.66,,,,,,,,,,
1943,8.76,8.76,8.70,,,,,,,,,,
1944,8.85,8.78,8.73,,,,,,,,,,
1945,8.58,8.74,8.73,,,,,,,,,,
1946,8.68,8.73,8.75,,,,,,,,,,
1947,8.80,8.74,8.76,,,,,,,,,,
1948,8.75,8.74,8.74,,,,,,,,,,
1949,8.59,8.72,8.73,,,,,,,,,,
1950,8.37,8.66,8.69,,,,,,,,,,
1951,8.63,8.63,8.67,,,,,,,,,,
1952,8.64,8.64,8.67,,,,,,,,,,
1953,8.87,8.66,8.68,,,,,,,,,,
1954,8.56,8.63,8.65,,,,,,,,,,
1955,8.63,8.61,8.65,,,,,,,,,,
1956,8.28,8.57,8.61,,,,,,,,,,
1957,8.73,8.62,8.61,,,,,,,,,,
1958,8.77,8.64,8.61,,,,,,,,,,
1959,8.73,8.65,8.62,,,,,,,,,,
1960,8.58,8.61,8.64,,,,,,,,,,
1961,8.80,8.65,8.66,,,,,,,,,,
1962,8.75,8.66,8.67,,,,,,,,,,
1963,8.86,8.75,8.67,,,,,,,,,,
1964,8.41,8.70,8.65,,,,,,,,,,
1965,8.53,8.67,8.64,,,,,,,,,,
1966,8.60,8.65,8.68,,,,,,,,,,
1967,8.70,8.66,8.67,,,,,,,,,,
1968,8.52,8.62,8.65,,,,,,,,,,
1969,8.60,8.60,8.64,,,,,,,,,,
1970,8.70,8.58,8.65,,,,,,,,,,
1971,8.60,8.61,8.63,,,,,,,,,,
1972,8.50,8.60,8.60,,,,,,,,,,
1973,8.95,8.65,8.61,,,,,,,,,,
1974,8.47,8.62,8.62,,,,,,,,,,
1975,8.74,8.65,8.64,,,,,,,,,,
1976,8.35,8.62,8.61,,,,,,,,,,
1977,8.85,8.64,8.63,,,,,,,,,,
1978,8.69,8.65,8.65,,,,,,,,,,
1979,8.73,8.68,8.66,,,,,,,,,,
1980,8.98,8.69,8.69,,,,,,,,,,
1981,9.17,8.79,8.74,,,,,,,,,,
1982,8.64,8.77,8.76,,,,,,,,,,
1983,9.03,8.87,8.77,,,,,,,,,,
1984,8.69,8.85,8.79,,,,,,,,,,
1985,8.66,8.84,8.78,,,,,,,,,,
1986,8.83,8.86,8.83,,,,,,,,,,
1987,8.99,8.86,8.84,,,,,,,,,,
1988,9.20,8.86,8.89,,,,,,,,,,
1989,8.92,8.90,8.91,,,,,,,,,,
1990,9.23,8.93,8.94,,,,,,,,,,
1991,9.18,9.00,8.94,,,,,,,,,,
1992,8.84,9.03,8.96,,,,,,,,,,
1993,8.87,9.03,8.94,,,,,,,,,,
1994,9.04,9.04,8.98,,,,,,,,,,
1995,9.35,9.06,9.05,,,,,,,,,,
1996,9.04,9.08,9.07,,,,,,,,,,
1997,9.20,9.07,9.09,,,,,,,,,,
1998,9.52,9.12,9.12,,,,,,,,,,
1999,9.29,9.19,9.16,,,,,,,,,,
2000,9.20,9.23,9.15,,,,,,,,,,
2001,9.41,9.29,9.18,,,,,,,,,,
2002,9.57,9.32,9.25,,,,,,,,,,
2003,9.53,9.39,9.32,,,,,,,,,,
2004,9.32,9.41,9.34,,,,,,,,,,
2005,9.70,9.43,9.38,,,,,,,,,,
2006,9.53,9.47,9.43,,,,,,,,,,
2007,9.73,9.54,9.48,,,,,,,,,,
2008,9.43,9.54,9.47,,,,,,,,,,
2009,9.51,9.54,9.49,,,,,,,,,,
2010,9.70,9.56,9.54,,,,,,,,,,
2011,9.52,9.59,9.55,,,,,,,,,,
2012,9.51,9.56,9.55,,,,,,,,,,
2013,9.61,9.57,9.56,,,,,,,,,,
2014,9.57,9.55,9.58,,,,,,,,,,
2015,9.83,9.61,9.59,,,,,,,,,,
